Athlete.ID,Gold.Years,Gold.Seasons,Gold.Sports,Gold.Events,Golds,Fract.Gold,Athlete,Sex,Height,Weight,Born,Died,Birth.Date,Death.Date,NOC,Source,Notes
1447,1996,Summer,Softball,"Softball, Women",1,0.066666667,Dani Tyler,Female,167,NA,"River Forest, Illinois (USA)",,10/23/1974,NA,United States,https://en.wikipedia.org/wiki/Dani_Tyler,
11290,1984,Summer,Equestrian Jumping,"Team, Open",1,0.25,Leslie Burr-Howard,Female,167,55,"Westport, Connecticut (USA)",,10/1/1956,NA,United States,https://en.wikipedia.org/wiki/Leslie_Burr_Howard,
11968,1984,Summer,Equestrian Eventing,"Team, Open",1,0.25,Torrance Watkins Fleischmann,Female,165,48,"New York, New York (USA)",,7/30/1949,NA,United States,https://www.washingtonpost.com/archive/sports/1984/08/05/long-ride-ends-well-for-finvarra-fleischmann/05db0892-b6f2-4832-8e47-815913c14b6c/,"Article reports spent early childhood in Long Island NY. Spent teenage years in Peru, graduated from University of Denver."
51064,1996,Summer,Swimming,"4 x 200 metres Freestyle Relay, Women",1,0.142857143,Trina Jackson,Female,170,58,"Jacksonville, Florida (USA)",,2/16/1977,NA,United States,https://en.wikipedia.org/wiki/Trina_Jackson,"Attended High School at Bolles School, a private prep school in Jacksonville, Florida"
51065,1996,Summer,Swimming,"4 x 100 metres Freestyle Relay, Women | 4 x 200 metres Freestyle Relay, Women",2,0.30952381,Lisa Jacob,Female,167,57,"Santa Barbara, California (USA)",,5/13/1974,NA,United States,https://olympics.fandom.com/wiki/Lisa_Jacob,
51176,1996,Summer,Swimming,"4 x 200 metres Freestyle Relay, Women",1,0.142857143,Annette Salmeen,Female,170,NA,"Ann Arbor, Michigan (USA)",,12/7/1974,NA,United States,https://en.wikipedia.org/wiki/Annette_Salmeen,
51290,1988,Summer,Swimming,"4 x 200 metres Freestyle Relay, Men",1,0.166666667,Matt Cetlinski,Male,183,73,"Lake Worth, Florida (USA)",,10/4/1964,NA,United States,https://en.wikipedia.org/wiki/Matt_Cetlinski,
51307,1988,Summer,Swimming,"4 x 100 metres Freestyle Relay, Men | 4 x 200 metres Freestyle Relay, Men",2,0.30952381,Troy Dalbey,Male,190,77,"Phoenix, Arizona (USA)",,9/19/1968,NA,United States,https://olympics.fandom.com/wiki/Troy_Dalbey,
51344,1996,Summer,Swimming,"4 x 100 metres Freestyle Relay, Men",1,0.166666667,David Fox,Male,190,77,"Raleigh, North Carolina (USA)",,2/25/1971,NA,United States,https://en.wikipedia.org/wiki/David_Fox_(swimmer),
51375,1996,Summer,Swimming,"4 x 100 metres Medley Relay, Men",1,0.125,Kurt Grote,Male,188,82,"San Diego, California (USA)",,8/3/1973,NA,United States,https://swimoregon.org/swimmer-spotlight-kurt-grote/,"Interview: ""I was born in San Diego and always loved the water."""
51385,1996,Summer,Swimming,"4 x 100 metres Medley Relay, Men",1,0.125,John Hargis,Male,188,79,"Clinton, Arkansas (USA)",,7/3/1975,NA,United States,https://en.wikipedia.org/wiki/John_Hargis_(swimmer),
